Date : 2023-08-19 12:21:56
Directory : c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src
Total : 321 files,  33121 codes, 2483 comments, 3670 blanks, all 39274 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignDocumentMap\AssignDocumentMap.jsx          | JavaScript JSX |         52 |          0 |          7 |         59 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignLocation\AssignLocation.jsx                | JavaScript JSX |        126 |          1 |         13 |        140 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignTask\AssignTask.jsx                        | JavaScript JSX |        141 |          0 |         36 |        177 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\assignForms\forms\assignTime\AssignTimes.jsx                       | JavaScript JSX |        164 |          0 |         19 |        183 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\connectWorkFlowToDoc.module.css                                    | CSS            |        140 |         33 |         20 |        193 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\dropdown\Dropdown.jsx                                              | JavaScript JSX |         64 |          6 |          8 |         78 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\connectWebflowToDoc\dropdown\dropdown.module.css                                       | CSS            |         59 |          1 |         11 |         71 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\processDocument\ProcessDocument.jsx                                                    | JavaScript JSX |        378 |          1 |         32 |        411 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\processDocument\processDocument.module.css                                             | CSS            |        254 |          3 |         39 |        296 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectDoc\SelectDoc.jsx                                                                | JavaScript JSX |         90 |          7 |         11 |        108 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectDoc\selectDoc.module.css                                                         | CSS            |         52 |          1 |          8 |         61 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectDoc\swiper.css                                                                   | CSS            |         32 |          0 |          6 |         38 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\SelectWorkflow.jsx                                                      | JavaScript JSX |         41 |          3 |          6 |         50 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\selectWorkflow.module.css                                               | CSS            |          6 |          0 |          1 |          7 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\workFlowSwiper\WorkflowSwiper.jsx                                       | JavaScript JSX |         57 |          5 |         10 |         72 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\workFlowSwiper\swiper.css                                               | CSS            |         33 |          2 |          6 |         41 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\workFlowSwiper\workFlowSwiper.module.css                                | CSS            |         20 |          0 |          3 |         23 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\ınfoBoxes\InfoBoxes.jsx                                                 | JavaScript JSX |        297 |         19 |         27 |        343 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDoc\steps\selectWorkflow\ınfoBoxes\infoBoxes.module.css                                          | CSS            |         18 |         53 |         11 |         82 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\skeloton\Skeleton.jsx                                                                                         | JavaScript JSX |         12 |          0 |          3 |         15 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\skeloton\skeleton.module.css                                                                                  | CSS            |         33 |          0 |          6 |         39 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\spinner\Spinner.jsx                                                                                           | JavaScript JSX |         76 |          0 |          5 |         81 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\spinner\spinner.module.css                                                                                    | CSS            |         89 |          0 |         12 |        101 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\styledComponents\styledComponents.js                                                                          | JavaScript     |         31 |          0 |          2 |         33 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\submitButton\SubmitButton.jsx                                                                                 | JavaScript JSX |         26 |          0 |          5 |         31 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\submitButton\submitButton.module.css                                                                          | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\WorkflowAiSettings.jsx                                                                     | JavaScript JSX |        110 |          2 |         12 |        124 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\enabledDisabkedProcess\EnabledDisabkedProcess.jsx                                          | JavaScript JSX |        402 |          3 |         39 |        444 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\enabledProcess\EnabledProcess.jsx                                                          | JavaScript JSX |        277 |         53 |         37 |        367 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\teamInWorkflowAi\TeamsInWorkflowAi.jsx                                                     | JavaScript JSX |        473 |         22 |         39 |        534 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\themes\Themes.jsx                                                                          | JavaScript JSX |         76 |          0 |          6 |         82 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\themes\themes.module.css                                                                   | CSS            |         12 |          0 |          1 |         13 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\veriables.js                                                                               | JavaScript     |        666 |        108 |         40 |        814 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\workflowAiSettings\workflowAiSettings.module.css                                                              | CSS            |         76 |          4 |         14 |         94 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\contexts\AppContext.js                                                                                                   | JavaScript     |         58 |        523 |          6 |        587 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\contexts\README.md                                                                                                       | Markdown       |          2 |          0 |          2 |          4 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\contexts\UserContext.js                                                                                                  | JavaScript     |         11 |          0 |          5 |         16 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\app\appSlice.js                                                                                                 | JavaScript     |        838 |         10 |         32 |        880 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\app\asyncThunks.js                                                                                              | JavaScript     |         14 |          0 |          4 |         18 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\auth\asyncThunks.js                                                                                             | JavaScript     |         36 |          0 |          9 |         45 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\auth\authSlice.js                                                                                               | JavaScript     |         68 |          4 |          6 |         78 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\document\asyncThunks.js                                                                                         | JavaScript     |        162 |          1 |         31 |        194 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\document\documentSlice.js                                                                                       | JavaScript     |        160 |          9 |          5 |        174 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\favorites\asyncThunks.js                                                                                        | JavaScript     |         22 |          0 |          6 |         28 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\favorites\favoritesSlice.js                                                                                     | JavaScript     |         38 |          3 |          6 |         47 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\settings\asyncThunks.js                                                                                         | JavaScript     |         42 |          0 |          9 |         51 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\settings\settingSlice.js                                                                                        | JavaScript     |         56 |          4 |          5 |         65 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\template\asyncThunks.js                                                                                         | JavaScript     |        103 |          0 |         27 |        130 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\template\templateSlice.js                                                                                       | JavaScript     |         89 |          6 |          5 |        100 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\workflow\asyncTHunks.js                                                                                         | JavaScript     |        121 |          4 |         30 |        155 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\features\workflow\workflowsSlice.js                                                                                      | JavaScript     |        110 |         10 |          6 |        126 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\README.md                                                                                                          | Markdown       |          2 |          0 |          2 |          4 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\useChangeElementPropertyOnScroll.js                                                                                | JavaScript     |         20 |          8 |          9 |         37 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\useClickInside.js                                                                                                  | JavaScript     |         13 |          0 |          7 |         20 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\useCloseElementOnEscapeKeyClick.js                                                                                 | JavaScript     |         13 |          0 |          6 |         19 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\useDowellLogin.js                                                                                                  | JavaScript     |        117 |         26 |         29 |        172 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\useScrollPosition.js                                                                                               | JavaScript     |         14 |          0 |          5 |         19 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\hooks\useWindowSize.js                                                                                                   | JavaScript     |         20 |          8 |          3 |         31 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\httpCommon\httpCommon.js                                                                                                 | JavaScript     |         36 |          0 |         14 |         50 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\i18n.js                                                                                                                  | JavaScript     |         40 |          0 |          7 |         47 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\index.css                                                                                                                | CSS            |         68 |          1 |         10 |         79 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\index.js                                                                                                                 | JavaScript     |         32 |          3 |          3 |         38 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\layouts\README.md                                                                                                        | Markdown       |          5 |          0 |          3 |          8 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\layouts\WorkflowLayout\WorkflowLayout.js                                                                                 | JavaScript     |        377 |          5 |         29 |        411 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\layouts\WorkflowLayout\style.css                                                                                         | CSS            |         27 |          0 |          3 |         30 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\layouts\WorkflowLayout\workflowLayout.module.css                                                                         | CSS            |        199 |          8 |         28 |        235 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\layouts\collapse\Collapse.jsx                                                                                            | JavaScript JSX |         31 |          1 |          6 |         38 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\App\WorkflowApp.js                                                                                                 | JavaScript     |        495 |         88 |         39 |        622 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\App\style.css                                                                                                      | CSS            |         33 |          0 |          1 |         34 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\App\workflowApp.module.css                                                                                         | CSS            |         60 |          0 |          8 |         68 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\ConstructionPage\ConstructionPage.jsx                                                                              | JavaScript JSX |         13 |          0 |          4 |         17 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\ConstructionPage\style.module.css                                                                                  | CSS            |         23 |          0 |          3 |         26 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\AllDocumentsPage\DocumentsPage.js                                                                        | JavaScript     |        185 |         14 |         15 |        214 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\AllDocumentsPage\documentsPage.module.css                                                                | CSS            |         55 |          0 |          7 |         62 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\AllDocumentsPage\style.css                                                                               | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\Documents\Documents.jsx                                                                                  | JavaScript JSX |          0 |         10 |          3 |         13 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\Documents\documents.module.css                                                                           | CSS            |          0 |          0 |          2 |          2 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\DraftsDoc\DraftsDoc.jsx                                                                                  | JavaScript JSX |          0 |         10 |          3 |         13 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\DraftsDoc\rejected.module.css                                                                            | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\NewDocumentPage\CreateNewDocumentPage.js                                                                 | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\NewDocumentPage\style.css                                                                                | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\ProcessDocumentsPage\ProcessDocumentsPage.js                                                             | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\ProcessDocumentsPage\style.css                                                                           | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\RejectedDocuments\RejectedDocumentsPage.js                                                               | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\RejectedDocuments\style.css                                                                              | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\SignDocumentPage\SignDocumentsPage.js                                                                    | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Documents\SignDocumentPage\style.css                                                                               | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Folders\FolderPage.jsx                                                                                             | JavaScript JSX |         74 |          3 |         10 |         87 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Folders\FoldersPage.jsx                                                                                            | JavaScript JSX |         40 |          0 |          6 |         46 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Folders\modals\FolderModal.jsx                                                                                     | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Folders\modals\FoldersModal.jsx                                                                                    | JavaScript JSX |        732 |         20 |         53 |        805 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Folders\modals\folders_modal.module.css                                                                            | CSS            |        168 |          4 |         32 |        204 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Landing\Home.js                                                                                                    | JavaScript     |         22 |        176 |          8 |        206 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Landing\home.css                                                                                                   | CSS            |         34 |          0 |          1 |         35 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Notifications\NotificationsPage.js                                                                                 | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Notifications\style.css                                                                                            | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Processes\AllProccessPage\ProcessesPage.js                                                                         | JavaScript     |        303 |          0 |         18 |        321 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\README.md                                                                                                          | Markdown       |          5 |          0 |          4 |          9 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Search\DisplaySearch.jsx                                                                                           | JavaScript JSX |        212 |          0 |         14 |        226 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Search\SearchPage.jsx                                                                                              | JavaScript JSX |        601 |         51 |         46 |        698 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Search\style.module.css                                                                                            | CSS            |        268 |          8 |         49 |        325 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Search\util.js                                                                                                     | JavaScript     |         56 |          4 |          7 |         67 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\AllTemplatesPage\TemplatesPage.js                                                                        | JavaScript     |        174 |          6 |         15 |        195 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\AllTemplatesPage\style.css                                                                               | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\ApproveTemplatesPage\ApproveTemplatesPage.js                                                             | JavaScript     |          7 |          0 |          2 |          9 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\ApproveTemplatesPage\style.css                                                                           | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\CreateTemplatePage\CreateNewTemplatePage.js                                                              | JavaScript     |         53 |          0 |         10 |         63 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\CreateTemplatePage\style.css                                                                             | CSS            |         69 |          0 |         12 |         81 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\CretedByMeTemp\CretedByMeTemp.jsx                                                                        | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\NewTemplate\NewTemplate.jsx                                                                              | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\RejectedTemplatesPage\RejectedTemplatesPage.js                                                           | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\RejectedTemplatesPage\style.css                                                                          | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\TempDraft\TempDraft.jsx                                                                                  | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Templates\TempDraft\toBe.module.css                                                                                | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Verification\VerificationPage.js                                                                                   | JavaScript     |        165 |          3 |         29 |        197 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Verification\style.css                                                                                             | CSS            |         23 |          0 |          2 |         25 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\AllWorkflowsPage\WorkflowsPage.js                                                                        | JavaScript     |        140 |          4 |         14 |        158 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\AllWorkflowsPage\style.css                                                                               | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\ApproveWorkflowPage\ApproveWorkflowPage.js                                                               | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\ApproveWorkflowPage\style.css                                                                            | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\CreateNewWorkflowPage\CreateNewWorkflowPage.js                                                           | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\CreateNewWorkflowPage\style.css                                                                          | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\DraftF\DraftF.jsx                                                                                        | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\NewWorkflow\NewWorkFlow.jsx                                                                              | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\RejectedWorkflowsPage\RejectedWorkflowsPage.js                                                           | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\RejectedWorkflowsPage\style.css                                                                          | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\ToBeApproved\ToBeApproved.jsx                                                                            | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\pages\Workflows\ToBeApproved\toBe.module.css                                                                             | CSS            |          0 |          0 |          1 |          1 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\reportWebVitals.js                                                                                                       | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\README.md                                                                                                       | Markdown       |          6 |          0 |          5 |         11 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\appServices.js                                                                                                  | JavaScript     |          6 |          0 |          2 |          8 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\archiveServices.js                                                                                              | JavaScript     |          8 |          0 |          2 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\authServices.js                                                                                                 | JavaScript     |         18 |          0 |          6 |         24 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\axios.js                                                                                                        | JavaScript     |         36 |          1 |          8 |         45 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\common.js                                                                                                       | JavaScript     |          9 |          0 |          2 |         11 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\documentServices.js                                                                                             | JavaScript     |         54 |         11 |         18 |         83 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\favoritesServices.js                                                                                            | JavaScript     |         20 |          0 |          6 |         26 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\folderServices.js                                                                                               | JavaScript     |         11 |          0 |          7 |         18 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\legalService.js                                                                                                 | JavaScript     |          5 |          0 |          3 |          8 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\locationServices.js                                                                                             | JavaScript     |          7 |          0 |          3 |         10 |
| c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\services\processServices.js                                                                                              | JavaScript     |         74 |          4 |         18 |         96 |
